,index,close
681,2002-09-20,47.46
682,2002-09-23,45.23
683,2002-09-24,45.64
684,2002-09-25,46.51
685,2002-09-26,46.2
686,2002-09-27,45.25
687,2002-09-30,43.74
688,2002-10-01,46.23
689,2002-10-02,45.61
690,2002-10-03,44.8
691,2002-10-04,43.77
692,2002-10-07,44.05
693,2002-10-08,44.99
694,2002-10-09,43.99
695,2002-10-10,46.38
696,2002-10-11,48.87
697,2002-10-14,49.29
698,2002-10-15,52.29
699,2002-10-16,50.41
700,2002-10-17,50.77
701,2002-10-18,53.15
702,2002-10-21,52.51
703,2002-10-22,51.67
704,2002-10-23,53.2
705,2002-10-24,51.23
706,2002-10-25,52.68
707,2002-10-28,51.95
708,2002-10-29,52.07
709,2002-10-30,53.11
710,2002-10-31,53.47
711,2002-11-01,53.0
712,2002-11-04,56.1
713,2002-11-05,56.68
714,2002-11-06,57.03
715,2002-11-07,56.01
716,2002-11-08,55.1
717,2002-11-11,53.86
718,2002-11-12,54.51
719,2002-11-13,55.36
720,2002-11-14,56.99
721,2002-11-15,56.69
722,2002-11-18,55.85
723,2002-11-19,54.86
724,2002-11-20,56.62
725,2002-11-21,57.84
726,2002-11-22,58.22
727,2002-11-25,58.23
728,2002-11-26,56.9
729,2002-11-27,58.08
730,2002-11-29,57.68
731,2002-12-02,57.69
732,2002-12-03,56.71
733,2002-12-04,56.54
734,2002-12-05,55.34
735,2002-12-06,55.47
736,2002-12-09,53.53
737,2002-12-10,54.01
738,2002-12-11,54.66
739,2002-12-12,54.17
740,2002-12-13,52.5
741,2002-12-16,54.48
742,2002-12-17,54.36
743,2002-12-18,53.53
744,2002-12-19,53.11
745,2002-12-20,53.04
746,2002-12-23,54.0
747,2002-12-24,53.82
748,2002-12-26,53.39
749,2002-12-27,52.97
750,2002-12-30,52.75
751,2002-12-31,51.7
752,2003-01-02,53.72
753,2003-01-03,53.79
754,2003-01-06,54.77
755,2003-01-07,55.8
756,2003-01-08,54.24
757,2003-01-09,55.81
758,2003-01-10,55.92
759,2003-01-13,56.39
760,2003-01-14,56.97
761,2003-01-15,56.27
762,2003-01-16,55.35
763,2003-01-17,51.46
764,2003-01-21,51.33
765,2003-01-22,51.0
766,2003-01-23,52.28
767,2003-01-24,49.85
768,2003-01-27,49.17
769,2003-01-28,48.82
770,2003-01-29,49.91
771,2003-01-30,48.24
772,2003-01-31,47.46
773,2003-02-03,48.56
774,2003-02-04,47.32
775,2003-02-05,46.96
776,2003-02-06,47.42
777,2003-02-07,46.58
778,2003-02-10,47.38
779,2003-02-11,46.44
780,2003-02-12,46.44
781,2003-02-13,46.99
782,2003-02-14,48.3
783,2003-02-18,24.96
784,2003-02-19,24.53
785,2003-02-20,24.14
786,2003-02-21,24.63
787,2003-02-24,24.07
788,2003-02-25,24.19
789,2003-02-26,23.61
790,2003-02-27,23.58
791,2003-02-28,23.7
792,2003-03-03,23.54
793,2003-03-04,23.07
794,2003-03-05,23.44
795,2003-03-06,23.27
796,2003-03-07,23.56
797,2003-03-10,22.95
798,2003-03-11,22.8
799,2003-03-12,23.39
800,2003-03-13,24.67
801,2003-03-14,24.86
802,2003-03-17,25.93
803,2003-03-18,26.04
804,2003-03-19,26.32
805,2003-03-20,26.25
806,2003-03-21,26.57
807,2003-03-24,25.29
808,2003-03-25,25.49
809,2003-03-26,25.25
810,2003-03-27,25.04
811,2003-03-28,24.67
812,2003-03-31,24.21
813,2003-04-01,24.35
814,2003-04-02,25.72
815,2003-04-03,25.73
816,2003-04-04,25.09
817,2003-04-07,25.17
818,2003-04-08,25.58
819,2003-04-09,24.57
820,2003-04-10,24.59
821,2003-04-11,24.2
822,2003-04-14,24.76
823,2003-04-15,24.6
824,2003-04-16,24.92
825,2003-04-17,25.5
826,2003-04-21,25.21
827,2003-04-22,25.76
828,2003-04-23,25.72
829,2003-04-24,25.49
830,2003-04-25,25.22
831,2003-04-28,25.74
832,2003-04-29,25.8
833,2003-04-30,25.57
834,2003-05-01,25.72
835,2003-05-02,26.1
836,2003-05-05,25.86
837,2003-05-06,26.37
838,2003-05-07,25.99
839,2003-05-08,25.74
840,2003-05-09,26.36
841,2003-05-12,26.2
842,2003-05-13,25.99
843,2003-05-14,25.62
844,2003-05-15,25.79
845,2003-05-16,25.57
846,2003-05-19,24.76
847,2003-05-20,24.63
848,2003-05-21,24.03
849,2003-05-22,24.16
850,2003-05-23,24.22
851,2003-05-27,24.79
852,2003-05-28,24.41
853,2003-05-29,24.4
854,2003-05-30,24.61
855,2003-06-02,24.64
856,2003-06-03,24.88
857,2003-06-04,24.87
858,2003-06-05,24.09
859,2003-06-06,23.67
860,2003-06-09,23.75
861,2003-06-10,24.68
862,2003-06-11,24.88
863,2003-06-12,24.99
864,2003-06-13,24.65
865,2003-06-16,25.39
866,2003-06-17,25.96
867,2003-06-18,26.07
868,2003-06-19,26.07
